what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319368171580
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368171584
activated,editor,org.eclipse.acceleo.ide.ui,3.1.1.v20110914-0246,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1319368174736
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368174736
installed,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368177783
resolved,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368177827
installed,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368177829
resolved,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368177875
started,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368177876
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1319368181364
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368181547
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368181604
stopped,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368181884
unresolved,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368181884
uninstalled,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368181885
unresolved,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368181929
uninstalled,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368181929
activated,editor,org.eclipse.acceleo.ide.ui,3.1.1.v20110914-0246,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1319368184459
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368184460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319368194765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319368197309
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319368198493
installed,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368201280
resolved,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368201325
installed,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368201327
resolved,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368201373
started,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368201375
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1319368204183
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368204284
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368204345
stopped,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368206028
unresolved,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368206028
uninstalled,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368206029
unresolved,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368206073
uninstalled,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368206073
activated,editor,org.eclipse.acceleo.ide.ui,3.1.1.v20110914-0246,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1319368208768
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368208768
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1319368229967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1319368232138
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319368236847
error,log,,,"org.eclipse.acceleo.parser.cst.impl.ModelExpressionImpl cannot be cast to org.eclipse.acceleo.parser.cst.Block",1319368238689
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319368242825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319368244374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1319368246134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1319368248398
installed,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368252367
resolved,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368252413
installed,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368252414
resolved,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368252460
started,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368252461
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1319368255057
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368255241
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368255298
stopped,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368256151
unresolved,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368256151
uninstalled,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319368256152
unresolved,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368256196
uninstalled,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319368256197
activated,editor,org.eclipse.acceleo.ide.ui,3.1.1.v20110914-0246,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1319368260358
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368260358
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1319368260885
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319368261103
